text,Label
"Immer Details, die Abtreibungsfans verschweigen/verstecken:
https://t.co/dReWGk2aNO
""Mädchen war sich der Schwangerschaft nicht bewusst""

Oben schreibt man:
""Doch nun wurde einem Teenager der Schwangerschaftsabbruch trotzdem verwehrt""

Nein, ihr wurde Abtreibung nicht verwert,",0
"Der Begriff Schwangerschaftsabbruch ist irreführend.
Es ist ein Lebensabbruch.
So wie jede Tötung.
#prochoice #Abtreibung #wegmit218 #wegmit219a",1
"News: Spionage-Ballons, China, Robert Habeck, Olaf Scholz, AfD-Jubiläum, »Letzte Generation«, Abtreibung, Hans-Georg Maaßen https://t.co/Z8tcaJvvdU Die Regierung forscht nach Spionageballons. Die Klima-Kleber bringen die Pendler wieder auf Betriebstemperatur. Und die AfD-Geburt…",0
"News: Spionage-Ballons, China, Robert Habeck, Olaf Scholz, AfD-Jubiläum, »Letzte Generation«, Abtreibung, Hans-Georg Maaßen https://t.co/igeRwACu05 https://t.co/6kRJoNaTAc",0
"Die Abtreibung wird zum Kult. Da dabei ein Mensch-ein Baby stirbt-,die betroffene Frau seelische Narben bekommt, ist es weder eine soziale noch überhaupt eine Gerechtigkeit. 
Um diesen Kult zu schützen, müssen Gesetze wie auf dem Jahrmarkt beschlossen werden.",1
"News: Spionage-Ballons, China, Robert Habeck, Olaf Scholz, AfD-Jubiläum, »Letzte Generation«, Abtreibung, Hans-Georg Maaßen https://t.co/0LiHOLEvYV",0
Tagsüber demonstriere ich übrigens auch vor Kliniken gegen Abtreibung. Abends habe ich allerdings abgetrieben. Aber das ist privat und darf man nicht miteinander vergleichen! 💁🏼‍♀️#sterntv,0
"Die Rechten: Moral hätte in der Politik nichts verloren aber Begründung gegen Recht auf Abtreibung, Mindestlohn, Erbschaftssteuer etc. 

Weiss auch nicht mehr.",0
Der Beitrag unterstreicht wohin woker linker Feminismus führt: offene Beziehung klappt nicht. Sterilisierung des Mannes ist Mist weil Frau am Ende doch noch ein Kind will. Und saloppe Abtreibung kann der größte Fehler des Lebens sein https://t.co/YPBl6KrVU0,1
"Über Abtreibung aufklären gilt als Werbung, aber überall dürfen Plakate zu Vapes, Zigaretten und Alkohol hängen... so viel zum Thema ""aBeR dIE kIndEr""",0
"Deutschland ist ein trauriges Land. Der kinderlose Finanzminister einer Partei für die Abtreibung die höchste Form der Selbstbestimmung ist, macht sich auf die Suche nach Arbeitskräften in einem afrikanischen Hörsaal. Er erntet Gelächter. Und das zu recht. #Lindner",0
"Eine Studie verglich die gesundheitlichen Folgen der medikamentösen und operativen Abtreibung. Auch wenn die Pille als besonders sicher vermarktet wird, sind die Risiken bei medikamentöser Abtreibung doppelt so hoch wie bei der Operativen. 
https://t.co/jIiK5Y2sh3",0
"Grad so einen massiven Koloss ausgeschissen, in Amerika wäre ich wegen Abtreibung gekreuzigt worden",0
Endlich hinterfragen Linke mal ihre Position zum Thema Abtreibung. 👏👏👏 https://t.co/0dHOlCfo9G,0
"CN Abtreibung

Die Neunjährige: ""Was sind Abtreibungen?""
Ihre Mutter erklärt und fügt hinzu: ""Ich musste auch schon mal eine haben.""
Die Neunjährige: ""Oh, also... Bin ich nix geworden oder war's mein Bruder?""
😂",0
Warum wird eine Abtreibung nie im Fernseher gezeigt?,0
Ist das nicht recht normal? wir hatten sowas mit Recht auf Abtreibung und basic Menschenrechten lol,0
"#Abtreibung ist ein #Geschenk an Männer, die #Frauen weiterhin als #Sexobjekte benutzen. https://t.co/JAr5Y5gixM",1
für mi ist abtreibung und verhütung ein grundrecht schachmatt herr papst,0
Ab der vierten Abtreibung muss doch der Frauenarzt ihr doch mal erklären was ein Gummi oder andere Verhütungsmittel sind ...,0
Oder dass man überhaupt leben darf! #Abtreibung 👶💀,0
"Wir sind hier in D und nicht in der #UK. Was interessiert hier, wenn in der UK ein Reisesack umfällt. In D wollen wir nicht, das Kinder im Bauch ihrer Mütter getötet werden. Wir verteidigen das #Menschenrecht auf Leben für Alle und bekämpfen es nicht. #Abtreibung ist #MORD",1
"Da offenbaren die Klebe-Fetischisten ihre geheimen Wünsche -nach legaler Abtreibung bis zur Geburt die Ausweitung zum Infantizid. Sie möchten wohl ihren Klima-Gott durch Menschen-Opfer, in diesem Fall Kinder, gnädig stimmen.",1
"Was sagen dazu all die Frauen, die für #Abtreibung sind? Sehen sie in Đoković einen Verbündeten? Wo waren sie, als die Impfpflicht in D diskutiert und für den Pflegesektor beschlossen wurde?",0
Die Rechtskommission des Nationalrates lehnt die Forderung unserer Petition ab. Mach jetzt ein Video und erklär dem Nationalrat warum die Abtreibung nicht ins Strafgesetz gehört.  Hier dein Video aufnehmen: https://t.co/rYv3dR8lUQ,0
Fristenregelung gut genug: Abtreibung soll in der Schweiz strafbar bleiben https://t.co/3KggWBHGs4,0
"""Darf ich das Spiel denn noch kaufen?"" Junge, wer bin ich – deine Mutter? Wenn ja, ists für die Abtreibung rr schon zu spät?",0
Schwangerschaftsabbrüche sind kein Verbrechen @spschweiz #Frauen #Recht #Abtreibung #Strafgesetz https://t.co/QdpcGzShsN,0
"Was für 1 Unsinn! Es wäre angebrachter, die würden dagegen protestieren, daß an jedem Werktag in Deutschl. ca. 1.000 wehrlose Kinder im Mutterleib getötet werden, z.T. schon bei vollem Schmerzempfinden! Es beraucht 1 Klima-Erwärmung d. Herzen &amp; 1 Stopp dieses Tötens! #Abtreibung",1
Recht auf Abtreibung dies das aber was ist mit dem inneren Kind?,0
"Morgen bei @epd_news  zu lesen: Die Ratsvorsitzende @EKD, Annette Kurschus (rechts), über #LetzteGeneration, #Sterbehilfe und #Abtreibung. Das Interview führten @co_ohnezusatz
und @KarstenFrerichs, Foto vom Rundgang in unserem Berliner Büro: Christian Ditsch https://t.co/hOZB3ZBz6r",0
Es ist wieder mal Zeit für ein teuflisch gutes Thema! - Manches kann man halt nur noch mit einem kräftigen Schluck aus der Sarkasmusflasche ertragen. https://t.co/CGc9TgUz52 #ProChoice #ProLife #AbortionIsHealthcare #Abtreibung,0
"#Präsident Joe #Biden stelle die Position der Bischöfe in der #Abtreibung|sfrage falsch dar und ignoriere die ""klare und konsequente"" Lehre der katholischen #Kirche. https://t.co/g2g1P0fiMj",0
"Abtreibung ist in CH im Strafrecht verankert. Dadurch kommt sie als Straftat mit Ausnahme daher.Abtreibung bleibt stigmatisiert &amp; steht unter Rechtfertigungsdruck

Es braucht endlich 1 andere Regelung,die Selbstbestimmung &amp;  Gesundheit ins Zentrum stellt:

https://t.co/B0Lsyi0iZa",0
#ABTREIBUNG: Der Ersatz der #Gesellschaft für die tatsächliche #Unterstützung von #Müttern.,0
Wisst ihr noch wo MrWissen2Go Video gemacht hat dass er persönlich gegen Abtreibung ist weil er selber Vater ist und es da ja auch einen Tua song drüber gibt wie schlimm das ist als mann,0
Abtreibung https://t.co/U10UAnXMMh,0
"#Pfizer #mRNA Forschungsdirektor Dr. Jordon #Walker sagt, dass die #Impfung den Menstruationszyklus und die Fruchtbarkeit beeinträchtigt. Die nächste Generation könnte ""fucked up"" sein. Bevölkerungsreduktion  durch #Impfung #Abtreibung #PfizerExposed #PfizerLiedPeopleDied https://t.co/0wxxCdkKim",1
"Der Satanic Temple eröffnet eine Klinik für religiöse Abtreibung in New Mexico.

Der Satanic Temple gab heute bekannt, dass die erste religiöse Abtreibungsklinik mit dem Titel „The Samuel Alito’s Mom’s Abortion Clinic“ eröffnen würde. https://t.co/cRqJJO3sKt",0
14-Jährige in Polen von Onkel vergewaltigt – Ärzte verweigern Abtreibung https://t.co/PjvzAaNRkC,0
"2 Fragen:

Gab es vorher ein Beratungsgespräch?
Was sagt die katholische #Kirche dazu?

#Abtreibung #Paragraph218 https://t.co/zXwuc6EOiF",0
"Eine parlamentarische Initiative fordert die Streichung der Abtreibung aus dem Strafgesetzbuch. „Eine Abtreibung sollte in erster Linie als eine Frage der Gesundheit betrachtet werden und nicht als Strafsache“. Lesen Sie unsere Stellungnahme:
https://t.co/OCM7NYaGQT",0
"Frankreich will Recht auf Abtreibung in der Verfassung verankern Paris – Der französische Senat hat den ... https://t.co/TOX9a8pN4D
https://t.co/TOX9a8pN4D",0
[dieStandard - https://t.co/dinAZOA2vr] Frankreich will Recht auf Abtreibung in der Verfassung verankern https://t.co/DtIaRTcRAM,0
Heute Abend hält @AndreasBovensc1 einen Bürgerabend. Bei der Frage zur zur Abtreibung vom Abtreibungsgegner hörbares Gestöhne in meiner Ecke. Stabil.,0
Ach ja anti Abtreibung natürlich auch lel,0
Frankreich will Recht auf Abtreibung in der Verfassung verankern:  https://t.co/zvKzvDi2LU,0
"Dass mit einer Abtreibung einen „schweren Schaden für die seelische Gesundheit der Schwangeren“ verhindert wird, konnte nicht wissenschaftlich untermauert werden. Im Gegenteil, es gibt ein erhöhtes «Risiko für psychische Gesundheitsprobleme».
https://t.co/zTmt1IdPjG",0
"Ein Land wird bald untergehen, wenn es das Töten von Menschen als legitim in seine #Verfassung aufnimmt. #abtreibung",1
"Das ist heute, hopp! Abtreibung hat nichts im Strafgesetzbuch zu suchen",0
"Polen: Sie ist 14 Jahre alt, wurde von ihrem eigenen Onkel vergewaltigt und dadurch schwanger. Trotzdem lehnen es zwei Krankenhäuser ab, eine Abtreibung durchzuführen. Möglich macht das eine sogenannte ""Gewissensklausel"". https://t.co/7ka6vQSXdf",0
Abtreibung: Senat spricht sich für Verankerung in der französischen Verfassung aus https://t.co/iIWCkKyQve #Nachrichten #Frankreich https://t.co/g1xYTmh9oz,0
"Polen: Zwei Ärzte verweigern einem 14-jährigen Vergewaltigungsopfer eine Abtreibung. Frauenrechtsgruppen und die Opposition fordern erneut, das polnische Abtreibungsgesetz zu lockern, berichtet DW-Autor @jaceklepiarz. https://t.co/MPprDyb7oi",0
"Warum man zwingend an § 218 StGB festhalten müsste (oder gar verschärfen), um Eugenik zu verhindern und für Abtreibung ethische Regeln zu finden, erschließt sich mir nicht... 
§218 gehört abgeschafft! 
 https://t.co/3GrHJTKAok",0
"Senat stimmt für ein „Recht“ auf Abtreibung in der Verfassung

166 Senatoren stimmen dafür, die „Freiheit der Frau, eine Schwangerschaft zu beenden“ in der Verfassung zu verankern. Auch 16 Senatoren der „Républicains“ stimmen dafür.

https://t.co/Van5KtG25X https://t.co/ZibhTGx32O",0
Senat stimmt für ein „Recht“ auf Abtreibung in der Verfassung  https://t.co/FQNfwKojZC,0
"#Abtreibung
""Die katholische Kirche sei klar und unbeirrbar in ihrer Ablehnung von Abtreibung, so der Vorsitzende der US-Bischöfe.""
https://t.co/xaRyJxeVMr",0
Restriktive Gesetzgebung: 14-jährigem Vergewaltigungsopfer wurde Abtreibung verwehrt – Entsetzen in Polen https://t.co/qXmRXge8K2 via @derspiegel Den Polen hat der Papst  ins Hirn geschissen. Wenn das die Auswüchse des Glaubens sind dürfen die Pfaffen dort auch Kinder schänden.,0
"ich kotz jedes mal im strahl, wenn bei der frage um legalisierung von abtreibung damit argumentiert wird, dass dem staat die hoheit über diese abwägungssituation überlassen werden muss; warum nicht dem betroffenen individuum? warum soll das betroffene individuum weniger in der",0
"#MeineGesundheitMeineWahl Wir rufen die Rechtskommission des Nationalrats auf, die Initiative von @leonoreporchet zu unterstützen, damit #Abtreibung, die im Strafgesetzbuch verankert ist, nicht mehr als Straftat mit möglichen Ausnahmen betrachtet wird.👉https://t.co/KqnN1lwfo1 https://t.co/R9Panbxqoz",0
"Oberster US-Bischof bekräftigt Haltung zu Abtreibung

Die katholische Kirche sei klar und unbeirrbar in ihrer Ablehnung von Abtreibung, so der Vorsitzende der US-Bischöfe. US-Präsident Biden sah dies offenbar anders.

https://t.co/uLg5iSw3M9 https://t.co/cG5bYLUSwe",0
"Wer gesellschaftliche Fragen (hier: Abtreibung) allein durch abstrakte rechtstheoretische Betrachtung eruiert, landet bei „die Antwort lautet: Strafrecht“. Machtstrukturen und Ungleichheiten bleiben ausgeblendet. Mehr hier 👇",0
"Der Skandal um Jean #Vanier sprengt die bislang bekannte Dimension. Vanier gründete mit dem Dominikaner Thomas Philippe eine sektenartige Gruppe. Dort wurde eine #Abtreibung mystisch verklärt, das tote Kind als »etwas Heiliges« verehrt: https://t.co/QihkKOIlI4 #Missbrauch #Kirche",0
"Stimmt, ist ""ungeheuerlich"", wenn in einer angeblich die Menschenrechte hochhaltende Gesellschaft bei Diskussionen um Abtreibung NUR aus ""christlich-fundamentalistischen Kreisen"" heraus darauf aufmerksam gemacht wird, dass Abtreibung kleine Menschen tötet.

Inhaltlicher Bullshit:",0
"Dystopie ist jetzt: In Floria müssen jetzt studierende Sportlerinnen ihren Zyklus der Schule ggü offenlegen. Die Firma, die die Daten dann speichert unterliegt nicht der ärztl. Schweigepflicht.
Hintergrund ist, Schwangerschaften zu entdecken, Abtreibung zu unterbinden. Wtf.",0
"Abtreibungsfans einfach so leseunfähig.

Hier bezieht sich Frage ""Wäre das wirklich so schlimm?"" nicht auf Vorschläge, 24h Bedenkzeit vor Abtreibung oder kein Totstechen von außerhalb Uterus überlebensfähigen Kinder.

Sondern auf Abschaffung Gleichstellungsbüros.",0
"Jede Frau hat ein Recht auf ein Leben ohne Gewalt!
🤫 (aber erst ab der Geburt) 
#Abtreibung

#StoppGewaltimMutterleib",0
14-Jährige in Polen von Onkel vergewaltigt – Ärzte verweigern Abtreibung https://t.co/F800wmGgfA,0
"Rückabwicklung und Abtreibung kann diese braune Jauche stoppen.

https://t.co/emqijXN07D",0
"Sie trauern um die ungeborenen Kinder der Klimakrise.  Sind sie dann hoffentlich auch gegen Abtreibung, oder?

https://t.co/ypZscFAUzU",1
In #Dortmund hat eine Klinik für #Abtreibung eröffnet. Die Ärztin Gabie Raven wird seither von Abtreibungsgegner:innen bedroht. Trotzdem macht sie weiter. #Schwangerschaftsabbruch https://t.co/I40mXolgGr https://t.co/he5fiKiX1s,0
"Finanzierung des Kindertötens ist auch gesichert!

Ferner KEINE psychosoziale Beratung vor Abtreibung, damit keine Frau von sozialen Hilfen erfährt, von denen sie noch nichts weiß!

Und keine Bedenkzeit, damit keine Frau es sich anders überlegt!

Das feiern Feministinnen!

🤩🥳🍾",1
"Finanzierung des Kindertötens ist auch gesichert!

Ferner KEINE psychosoziale Beratung vor Abtreibung, damit auch ja keine Frau von sozialen Hilfen erfährt, von denen sie noch nichts weiß!

Und keine Bedenkzeit, damit auch ja keine Frau es sich anders überlegt!

JIPPIE!!!

🤩🥳🍾",1
"Babys werden lebend zur Welt gebracht und ihre Herzen werden ohne Betäubung herausgeschnitten, um Impfstoffe zu entwickeln.

Das ist einer der Gründe ist, warum diejenigen, die die Kontrolle haben, so stark für Abtreibung sind. https://t.co/fX0QJbAUix",1
"Und Finanzierung des Kindertötens ist auch gesichert!

Ferner KEINE psychosoziale Beratung vor Abtreibung!

Und keine Bedenkzeit!

JIPPIE!!!!!

🤩🥳🍾🍾",1
"Hat sich #FeministischeAussenpolitik schon positioniert? Oder müssen Einzelschicksale beim Kampf [nicht Krieg!] gegen #Russland zurückstehen? #Baerbock #Polen

Polnische Krankenhäuser verweigern 14-Jähriger #Abtreibung nach #Vergewaltigung https://t.co/bFvA1mhb80 @Tagesspiegel",0
"Nö, die haben verlogen diskutiert.

Denn die meisten haben verschwiegen, dass Abtreibung auch eine Entscheidung über den Körper des ungeborenen Kindes ist.

Ist im übrigen häufig bei ProAbortion so:
""sachlich"" = ungeborenes Kind verschweigen  🤡🤡",0
Von Polen nach Wien: Einmal Abtreibung und Retour | dasbiber https://t.co/Bz0CDwdovN,0
"Man glaubt es beim Thema Abtreibung ja kaum, aber im Vorarlberger Landtag haben die Abgeordneten heute unter Beweis gestellt, dass man hier gleichzeitig emotional und sachlich, wertschätzend debattieren kann. Wohltuend.",0
"Fasion Mogul, Peter Nygard, wurde vor der Kamera gefilmt, als er anbot, für die Plazenta von Frauen und abgetriebene Babys zu bezahlen … Diese Leute sind wirklich krank.

Deshalb ist Abtreibung für sie so wichtig, es ist ein Geschäft, ein lukratives Geschäft!! https://t.co/urDuXZM8r6",1
Abtreibung ist legitim und desweiteren sollte embryonale Stammzellforschung in Deutschland einfacher sein. Dass die Mittelalterbehörde da noch ernstgenommen wird ist lächerlich.,0
"Wo finden Frauen u Mädchen mit Behinderung Hilfe nach Missbrauch oder einer Vergewaltigung Hilfe,medizinische Versorgung und die Möglichkeit einer #Abtreibung 

In #Polen gerade schier unmöglich

Noch immer ist jede 2. behinderte Frau Opfer von Gewalt #AbortionRights",0
"1/2 Der größte Friedenszerstörer ist heutzutage die #Abtreibung, weil es ein direkter #Krieg ist, ein direktes Töten, ein direkter Mord durch die Mutter selbst. (#MutterTeresa) #Kriegserklaerung #Ukraine️",1
"Eine Kommilitonin die absolut gegen Abtreibung war hat in unserer Lerngruppe eine Debatte angefangen und dann gegen mich verloren, hat aber tatsächlich ihre Meinung geändert und ist jetzt pro choice. Ich bin sehr beeindruckt, sowas hat man selten.",0
"#MeineGesundheitMeineWahl Am 2.Feb. stimmt die Rechtskommission des Nationalrats über die #Initiative «Eine #Abtreibung sollte in erster Linie als eine Frage der #Gesundheit betrachtet werden und nicht als Strafsache» ab, eingereicht von @LeonorePorchet 👉 https://t.co/KqnN1lwfo1 https://t.co/YNRlfpSpOv",0
"Bin ja auch überhaupt kein Fan von Abtreibung, aber (wenn das stimmt) für ein 14jähriges Vergewaltigungsopfer muss es die Möglichkeit geben.",0
"🇩🇪Babys werden lebend geliefert, ihr Herz wird ohne Betäubung herausgeschnitten,um Impfstoffe zu entwickeln ""Das ist wirklich schrecklich, mir fehlen die Worte. 😖 Aber verstehen Sie, dies ist einer der Gründe ist, warum jene, die die Kontrolle haben, so stark für Abtreibung sind",1
"Minister kündigt „eindeutige Reaktion“ an: Krankenhäuser in  #Polen verweigern 14-Jähriger Abtreibung nach Vergewaltigung 
https://t.co/7hepED0QWW",0
"Schön, dass auch dieser Vorarlberger Landrat wenigstens unbewusst zur Kenntnis nehmen musste, dass bei Abtreibung ungeborener Menschen sterben.

Natürlich verdrängt er diese Tatsache mittels ""shoot the messenger"".",0
Abtreibung https://t.co/U6vwRto4FA,0
"Gut, dass es die Post gab.

Ansonsten ist es für die Abgeordneten zu naheliegend, zu verdrängen/zu leugnen, dass es bei Abtreibung um Tötung ungeborener Menschen geht.",0
"Polen hat die Abtreibung schwer fehlgebildeter Föten für verfassungswidrig erklärt.
Ich kann jeden verstehen, der im Falle schwerster Missbildungen nicht abtreiben will, ebenso jeden, der es anders will.Etwas allen vorschreiben oder verbieten geht zu weit. https://t.co/n42FpLyTjq",0
"Die Lesung aus #AlleZeit in München ist ausverkauft. Am Abend vorher (8. März 🥰) stellt jedoch @schwarzblond ihr Buch über Abtreibung im Literaturhaus vor, ich bin weiterer Gesprächsgast und @MeredithHaaf moderiert. Ich freu mich sehr! https://t.co/OEGBEIqoqm",0
"Der Begriff Schwangerschaftsabbruch ist irreführend.
Es ist ein Lebensabbruch.
So wie jede Tötung.
#prochoice #Abtreibung #wegmit218 #wegmit219a",1
Abtreibung ist ein Verbrechen!,1
"Der Gouverneur von Minnesota unterzeichnet ein Gesetz zur Kodifizierung des „Grundrechts“ auf Abtreibung #Abtreibung #auf #Der #des #ein #Gesetz #Gouverneur #Grundrechts #Kodifizierung #Minnesota #unterzeichnet #Von #zur
https://t.co/IT0u7XwSsD",0
"Abtreibung dient dann wohl dem Nachwuchsschutz und Pädophilie der Nächstenliebe? Wie im 3. REICH, die #Kirche ist ganz ganz nah an der politischen Gesinnung. Sie wissen schon, nicht alle haben Platz im Atombunker!",1
"Würden wir auch von ""Selbstbestimmung"" reden, wenn eine Frau keine Lust hat, ihr Kind zu stillen?
Würden wir von ""Gesundheitsrisiken"" für die Eltern reden, wenn das Kind nachts schreit?
Würden wir bei einem Säugling sagen, dass er ""Potenzial"" hat ein Mensch zu werden?
#Abtreibung",0
"Abtreibung https://t.co/sUc3WlS3xZ

Es galt einmal zumindest der Hippokratische Eid!",0
Was mit #ChatGPT geht und was nicht. Thema #Abtreibung. https://t.co/Xrk6cb7jhl,0
"Heute in Bern eingereicht: #Petition mit über 11'000 Unterschriften soll #Abtreibung entkriminalisieren.

#Schwangerschaftsabbruch #Bundeskanzlei #BärnToday https://t.co/OLndqlzDvL",0
Abtreibung https://t.co/L1lnlM8yyg,0
"Abtreibung ist keine Frage der Gesundheit! 

https://t.co/OCM7NYaGQT | Die Stiftung @ZukunftCH informiert über Ehe &amp; Familie, das System Islam, die Gender-Ideologie, das Lebensrecht, Transhumanismus und ähnliches aus vernünftiger, wertorientierter Sicht.",0
"In Polen wurde einem 14-jährigen Mädchen, das von seinem Onkel vergewaltigt wurde, eine Abtreibung verweiger obwohl eine Bescheinigung der Staatsanwaltschaft vorliegt, aus der hervorgeht, dass die Schwangerschaft auf ein begangenes Verbrechen zurückzuführen ist.",0
"In CH gibt es zwar keine Pflichtberatung, und jede Abtreibung wird von der Krankenkasse bezahlt.

Aber ProAbortion natürlich trotzdem unzufrieden, weil ungeborene Kinder auch im CH Recht - implizit - keine wertlosen Zellhaufen sind.",0
"Wusstest du, dass unsere Regelung für Schwangerschaftsabbrüche im Strafgesetzbuch zu finden ist? De facto ist Abtreibung in der Schweiz also nur unter gewissen Umständen straffrei, aber nie legal. Dagegen haben wir heute eine Petition eingereicht. @SGCH_SSCH 
#keinSchrittzurück https://t.co/5OzH6XWOEB",0
Restriktive Gesetzgebung: 14-jährigem Vergewaltigungsopfer wurde Abtreibung verwehrt – Entsetzen in Polen https://t.co/c7lfHR0Utm via @derspiegel,0
Wie stehen Sie zum Thema Abtreibung?,0
News (Vergewaltigte 14-Jährige musste in Polen Abtreibung erkämpfen) has been published on https://t.co/RaBjl5DDcP - https://t.co/2A7WXGtJIB,0
Restriktive Gesetzgebung: 14-jährigem Vergewaltigungsopfer wurde Abtreibung verwehrt – Entsetzen in Polen https://t.co/c7lfHR0Utm via @derspiegel,0
"https://t.co/ZULbURKa6y
BILD hat eine Headline geändert. 

Sie wurde von ihrem Onkel vergewaltigt - Mehrere Ärzte verweigern Polin (14) Abtreibung

 Alle Änderungen auf https://t.co/OmRYg87Fcw https://t.co/oa6RwN0D6a",0
"Hier der erste Kommentar zur Antwort der EKD nach meinem Anruf. Dieser bezieht sich auf die Abschaffung des §219a und Abtreibung.

Schlimm was sich die Kirche leistet.

https://t.co/OsSNYm9ZxQ",0
"Wäre auch ein adäquates 🎁 für jeden der Abtreibung befürwortet, durchführt oder plant...",0
"Stellt euch vor, man könnte bei einer medizinischen Behandlung die Patientinnen Zufriedenheit steigern, Komplikationen mindern und Kosten senken.

Mit welchen Wort bezeichnen wir Menschen die dagegen sind?

Abtreibung per Telemedizin, jetzt!

https://t.co/UvRwjqZAsO",0
von-Relax-Senf zu Reizthemen » Update  #Vergewaltigung ist scheusslich - Restriktive Gesetzgebung 14-jährigem Vergewaltigungsopfer wurde Abtreibung verwehrt – Entsetzen in Polen https://t.co/qU3ZkeOmPJ,0
Frauen haben nicht das Recht auf Abtreibung! Sie haben eine Pflicht für Verhütung zu sorgen und damit eine Recht auf reproduktive Selbstbestimmung! Dieser Abtreibungswahn ist ekelhaft und unmenschlich!,1
Polen: 14-jährigem Vergewaltigungsopfer wurde Abtreibung verwehrt - DER SPIEGEL https://t.co/mfwbthOfaG,0
"Top story: Polen: Verweigerte Abtreibung für 14-Jährige nach Vergewaltigung - WELT https://t.co/mi5UyJLsRv, see more https://t.co/LffROLjerJ",0
"14-Jährige wurde von Onkel vergewaltigt: Verweigerte Abtreibung für Empörung in Polen

https://t.co/ixSGJwn5pp",0
Verweigerte Abtreibung für 14-Jährige sorgt in Polen für Empörung https://t.co/ta6hitFy8b https://t.co/a5xa8GqTsi,0
"der staat kontrolliert perfide unsere reproduktive &amp; sexuelle freiheit; er will nicht, dass wir sex haben, ohne kinder zu gebären, sonst gäbe es kassenfinanzierte verhütungsmittel, gleichwertig nach individuellem bedarf; es gäbe aufklärung &amp; support &amp; legalen zugang zu abtreibung",0
Verweigerte Abtreibung für 14-Jährige sorgt in Polen für Empörung https://t.co/lQ4HM0HCVC https://t.co/Tq1MDjNSEU,0
"Tja, wenn eine angeblich geistig behinderte 14-jährige von ihrem Onkel vergewaltigt wird, und dann nicht sofort eine Abtreibung möglich ist, sondern es etwas dauert,
ist für ProAbortion der Skandal, dass das mit der Abtreibung etwas gedauert hat.

Und nicht die Vergewaltigung.",0
"Ein Teil der polnischen Bevölkerung scheint total durchgeknallt zu sein.

Restriktive Gesetzgebung: 14-jährigem Vergewaltigungsopfer wurde Abtreibung verwehrt – Entsetzen in Polen https://t.co/4ED04cFTyd via @derspiegel",0
"Unsere Dame von Guadalupe, 

Beschützerin der Ungeborenen, 

Bitte verhindern Sie für jedes Jahrzehnt des Rosenkranzes eine Abtreibung. https://t.co/xnhv8QdgYL",0
Restriktive Gesetzgebung in Polen: 14-jährigem Vergewaltigungsopfer wurde Abtreibung verwehrt. Die Jugendliche ist geistig behindert und wurde nach einer Vergewaltigung durch ihren Onkel schwanger. https://t.co/h1t7Q4EXC3 via @derspiegel,0
